,OBJECTID,overlap_score,accident_count_score,hotspots_analysis_score,national_accident_count_zscore,national_mean_ohsgi_zscore,national_mean_stddist_zscore,regional_accident_count_zscore,regional_mean_ohsgi_zscore,regional_mean_stddist_zscore,state_accident_count_zscore,state_mean_ohsgi_zscore,state_mean_stddist_zscore,overall_score_national,overall_score_regional,overall_score_state,national_rank,region_rank,state_rank
422,423,0.0,66.66666666666666,89.32613065146204,0.8813790462223458,0.8762123922774884,,0.828789585835785,2.1664744673323413,,0.8980265101338745,1.5113979474839223,,37.37613246056654,97.71818830469167,133.66126465526318,75.0,8.0,2.0
516,517,0.0,33.33333333333333,99.99999999999999,-0.3116372766469465,1.0813817058688087,,-0.3198836997962678,2.520901742044464,,-0.35921060405355,1.8026880999644508,,27.935106740187038,84.23876141398856,108.33333333333331,167.0,14.0,4.0
517,518,0.0,33.33333333333333,4.730355177855476,-0.3116372766469465,-0.7498574629828882,,-0.3198836997962678,-0.6425396937203142,,-0.35921060405355,-0.7972228096448585,,13.028755837602079,26.03937149503372,36.88109971672493,498.0,53.0,10.0
218,219,0.0,66.66666666666667,6.287873440156846,0.8813790462223458,-0.8090988802951757,,0.828789585835785,-0.7448784583267087,,1.0509877084907764,-0.568744248242356,,23.65763973915805,44.156594846218724,71.38257174678431,237.0,33.0,5.0
219,220,0.0,66.66666666666667,18.928148149908576,0.8813790462223458,-0.6473890604714367,,0.828789585835785,-0.4655268841021071,,1.0509877084907764,-0.06169558915282029,,24.97396333013824,49.295963322891964,80.86277777909811,215.0,27.0,4.0
228,229,0.0,33.333333333333336,3.8228613085577607,-0.3116372766469465,-0.8406343236947321,,-0.3198836997962678,-0.7993555195660266,,-0.08084520834544429,-0.6676250973272652,,12.289829015468662,23.154353523569,36.200479314751654,541.0,64.0,7.0
249,250,0.0,33.333333333333336,31.388072874744594,-0.3116372766469465,-0.487986497747374,,-0.3198836997962678,-0.19016106599075813,,-0.08084520834544429,0.4381185580199942,,15.160394656493752,34.36200388157865,56.87438798939178,420.0,41.0,6.0
277,278,0.0,0.0,35.790201264895124,-1.5046535995162387,-0.4316690991814222,,-1.4685569854283205,-0.09287350508208263,,-1.212678125181665,0.6147043798173468,,4.507709140042253,16.151851048519884,26.84265094867134,592.0,72.0,11.0
299,300,0.0,0.0,20.679249198528236,-1.5046535995162387,-0.6249868388767601,,-1.4685569854283205,-0.4268273426925469,,-1.212678125181665,0.008547618294869616,,2.9340959754656852,10.007937843651586,15.509436898896176,607.0,75.0,12.0
313,314,0.0,0.0,11.06880120313816,-1.5046535995162387,-0.7479354178788431,,-1.4685569854283205,-0.6392193862329215,,-1.212678125181665,-0.37696336791438234,,1.9332902408829837,6.1004568269525885,8.30160090235362,616.0,78.0,13.0
314,315,0.0,33.333333333333336,3.466551237465817,-0.3116372766469465,-0.8451926769521348,,-0.3198836997962678,-0.8072300145083575,,-0.08084520834544429,-0.6819180259159047,,12.252723860473864,23.00948256234864,35.9332467614327,543.0,65.0,8.0
315,316,99.99148428222331,33.333333333333336,20.678453946818284,-0.3116372766469465,-0.6249970127071304,-1.1315541688045376,-0.3198836997962678,-0.4268449178499055,-0.9885542795543524,-0.08084520834544429,0.008515717776690239,-1.0,139.82637053712554,155.54117065213921,173.8315291462262,26.0,5.0,2.0
317,318,99.62865856939891,100.00000000000001,29.723378136336976,2.074395369091638,-0.5092833043746653,0.5515399190471326,1.9774628714678377,-0.22695101766948347,0.29459763244411014,2.182820625326997,0.3713414306010943,0.9999999999999999,162.84586425814345,198.96884979555455,246.82835681400138,16.0,3.0,1.0
331,332,0.0,33.333333333333336,1.4204199524633352,-0.3116372766469465,-0.8713692853749091,,-0.3198836997962678,-0.8524497592259846,,-0.08084520834544429,-0.7639959987610087,,12.039645352091963,22.177552650480198,34.398648297680836,552.0,67.0,10.0
336,337,0.0,66.66666666666667,100.0,0.8813790462223458,0.3897810055668392,,0.828789585835785,1.3261706825777195,,1.0509877084907764,3.190399378275443,,33.41656395434748,82.25870577202872,141.66666666666669,104.0,16.0,3.0
349,350,0.0,0.0,0.0,-1.5046535995162387,-0.8895410308362386,,-1.4685569854283205,-0.8838412090870027,,-1.212678125181665,-0.8209743515878597,,0.7806155971649879,1.6000286887821291,0.0,623.0,79.0,14.0
350,351,0.0,33.333333333333336,3.2722941451899565,-0.3116372766469465,-0.8476778507408957,,-0.3198836997962678,-0.8115231193480561,,-0.08084520834544429,-0.6897104038838549,,12.23249445888652,22.930500198488897,35.787553942225806,546.0,66.0,9.0
284,285,0.0,39.99999999999999,61.117955124415566,0.8813790462223458,0.5024178868532739,,0.828789585835785,1.5207494047444485,,0.5373851656206347,1.3951022661255512,,34.333432108757506,85.83846634331167,85.83846634331167,90.0,12.0,3.0
285,286,0.0,19.999999999999996,8.070988200571966,-0.3116372766469465,-0.7494210553804438,,-0.3198836997962678,-0.6417858053610338,,-0.4396787718714283,-0.6632538427260788,,13.032308210754227,26.05324115042897,26.05324115042897,497.0,52.0,15.0
421,422,0.0,0.0,23.847324538230037,-1.5046535995162387,-0.3771201805422963,,-1.4685569854283205,0.0013590301510841782,,-1.4167427093634912,-0.05109220259806792,,4.951739246225078,17.885493403672527,17.885493403672527,588.0,71.0,20.0
438,439,0.0,19.999999999999996,4.866333162577722,-0.3116372766469465,-0.8250467170463793,,-0.3198836997962678,-0.7724281353146715,,-0.4396787718714283,-0.7876025408088091,,12.416712678937653,23.649749871933285,23.649749871933288,532.5,61.5,16.5
439,440,0.0,19.999999999999996,4.866333162577722,-0.3116372766469465,-0.8250467170463793,,-0.3198836997962678,-0.7724281353146715,,-0.4396787718714283,-0.7876025408088091,,12.416712678937653,23.649749871933285,23.649749871933288,532.5,61.5,16.5
440,441,97.09617632649972,100.0,100.0,4.460428014830223,1.4199832209620844,2.7191754695373063,4.274809442731944,3.105831379460683,1.9471527220276872,3.4685769780968236,2.9038236735002885,0.9999999999999998,198.36080033767445,296.11771077567414,296.3702204081246,4.0,1.0,1.0
441,442,0.0,19.999999999999996,46.11522094919846,-0.3116372766469465,0.14837300983928367,,-0.3198836997962678,0.9091415639354226,,-0.4396787718714283,0.8129583410380109,,20.340383312061387,54.58641571189885,54.58641571189884,276.0,23.0,6.0
461,462,0.0,19.999999999999996,66.44779260895508,-0.3116372766469465,0.6281950708438744,,-0.3198836997962678,1.738027825978294,,-0.4396787718714283,1.6019134031550881,,24.24615167579782,69.83584445671632,69.83584445671632,225.0,19.0,5.0
488,489,0.0,39.99999999999999,48.211188058858376,0.8813790462223458,0.19783508847763784,,0.828789585835785,0.9945866503692947,,0.5373851656206347,0.8942871512283143,,31.854117473779752,76.15839104414377,76.15839104414377,119.0,18.0,4.0
501,502,0.0,39.99999999999999,15.108372678582263,0.8813790462223458,-0.5833479987683302,,0.828789585835785,-0.35489679731283585,,0.5373851656206347,-0.3901855756667005,,25.49525981295605,51.33127950893669,51.33127950893669,210.0,26.0,7.0
502,503,0.0,19.999999999999996,19.60871953054276,-0.3116372766469465,-0.47714570729837574,,-0.3198836997962678,-0.17143374392047458,,-0.4396787718714283,-0.21556076727788367,,15.248639070026853,34.706539647907064,34.706539647907064,417.0,40.0,11.0
513,514,0.0,19.999999999999996,12.70856490202361,-0.3116372766469465,-0.6399803191964585,,-0.3198836997962678,-0.45272838157181017,,-0.4396787718714283,-0.4833041700632609,,13.923159632209286,29.531423676517704,29.531423676517704,460.0,43.0,12.0
514,515,0.0,19.999999999999996,9.491720104607039,-0.3116372766469465,-0.7158936432194754,,-0.3198836997962678,-0.5838676444413551,,-0.4396787718714283,-0.608125861555933,,13.30522251874185,27.118790078455273,27.118790078455277,480.0,46.0,13.0
515,516,0.0,19.999999999999996,22.493246106935597,-0.3116372766469465,-0.40907465804459464,,-0.3198836997962678,-0.0538419069566402,,-0.4396787718714283,-0.10363386091607371,,15.802739792501177,36.869934580201694,36.869934580201694,397.0,38.0,9.0
526,527,0.0,39.99999999999999,3.501638068080329,0.8813790462223458,-0.857251733895312,,0.828789585835785,-0.8280618758289161,,0.5373851656206347,-0.8405561524358662,,23.265673826166722,42.62622855106024,42.62622855106024,241.0,35.0,8.0
527,528,0.0,19.999999999999996,0.0,-0.3116372766469465,-0.939885806103891,,-0.3198836997962678,-0.9708111422693654,,-0.4396787718714283,-0.9764285411205599,,11.481918476224141,19.999999999999996,19.999999999999996,566.0,70.0,19.0
528,529,0.0,19.999999999999996,2.0028494908379246e-14,-0.3116372766469465,-0.9398858061038906,,-0.3198836997962678,-0.9708111422693646,,-0.4396787718714283,-0.9764285411205591,,11.481918476224145,20.00000000000001,20.00000000000001,565.0,69.0,18.0
545,546,0.0,19.999999999999996,8.317088600241023,-0.3116372766469465,-0.7436134082731681,,-0.3198836997962678,-0.6317531718219774,,-0.4396787718714283,-0.6537045265177295,,13.079582661395058,26.237816450180762,26.237816450180766,494.0,51.0,14.0
552,553,99.86866642425042,59.99999999999999,28.548714248421234,2.074395369091638,-0.2661735409298273,-0.09220974481437232,1.9774628714678377,0.19301788218897978,-0.196182186696372,1.5144491031126976,0.13133357574958282,-1.0,164.52089903376947,206.17026333357967,206.24736871662896,15.0,2.0,2.0
553,554,0.0,19.999999999999996,19.9597657858881,-0.3116372766469465,-0.46886147544780615,,-0.3198836997962678,-0.15712284300412543,,-0.4396787718714283,-0.20193928718050258,,15.316073007124428,34.969824339416064,34.96982433941607,415.0,39.0,10.0
292,293,0.0,100.0,4.964795026447127,0.8813790462223458,-0.7131854200934657,,0.828789585835785,-0.57918922482264,,0.8164965809277261,-0.743139478591336,,24.438378660849164,47.20486126805144,103.72359626983534,220.0,29.0,6.0
294,295,0.0,0.0,10.315483606986938,-1.5046535995162387,-0.6150583837797844,,-1.4685569854283205,-0.40967606787212163,,-1.632993161855452,-0.5847067188001049,,3.0149139473141586,10.323478292605643,7.736612705240203,606.0,74.0,9.0
351,352,0.0,0.0,27.33401471004075,-1.5046535995162387,-0.30295312958343606,,-1.4685569854283205,0.12948162940657074,,-1.632993161855452,-0.08079160401357022,,5.55546163585479,20.24262795568214,20.500511032530564,586.0,68.0,8.0
420,421,0.0,100.0,81.46064309145433,0.8813790462223458,0.6896827805005459,,0.828789585835785,1.844247030889775,,0.8164965809277261,1.5218864407992316,,35.85777489473663,91.79001147673264,161.09548231859074,80.0,10.0,1.0
458,459,0.0,50.0,0.0,-0.3116372766469465,-0.8042354998200291,,-0.3198836997962678,-0.7364770329014236,,-0.4082482904638629,-0.8901460116754275,,12.58611671526592,24.311160007018987,50.0,523.0,56.0,7.0
459,460,0.0,100.0,25.623420401577047,0.8813790462223458,-0.3343239610751204,,0.828789585835785,0.07528893306018448,,0.8164965809277261,-0.13144194052516264,,27.52232419218796,59.24561823400212,119.21756530118279,175.0,21.0,3.0
460,461,0.0,50.0,99.99999999999999,-0.3116372766469465,1.0296786747137774,,-0.3198836997962678,2.4315854397872196,,-0.4082482904638629,2.0708328867684695,,27.51424225769158,82.59556541787494,124.99999999999999,176.0,15.0,2.0
499,500,0.0,100.0,12.761756549801476,0.8813790462223458,-0.5701958375337234,,0.828789585835785,-0.33217661279127814,,0.8164965809277261,-0.5122730931650239,,25.602318865550124,51.749273932051736,109.5713174123511,207.0,25.0,4.0
518,519,0.0,100.0,8.102912553832638,0.8813790462223458,-0.655635037945213,,0.828789585835785,-0.4797717010886748,,0.8164965809277261,-0.6502204807970816,,24.906840785006136,49.03389440998194,106.07718441537448,219.0,28.0,5.0
16,17,101.1643537587992,0.0,0.0,-0.3116372766469465,-0.28698935252063523,-0.6724871333535056,-0.27330408330506084,-0.4859764891894558,,-0.4472135954999579,-1.1643537587991946,,142.15525514142007,160.8101128022802,126.45544219849899,24.0,1.0,1.0
59,60,0.0,0.0,15.26812930950319,-0.3116372766469465,0.05767515190987052,,-0.27330408330506084,-0.1242122836498457,,-0.4472135954999579,-0.8147093760352087,,19.602099575340965,40.644857264892856,11.451096982127392,290.0,24.0,6.0
60,61,0.0,99.99999999999999,7.22385264010233,3.26741169196093,-0.12391727343297865,,5.231821023268303,-0.31481398078344913,,2.23606797749979,-0.9989255359746424,,51.45726421315139,112.7775326003584,105.41788948007674,41.0,2.0,2.0
74,75,0.0,0.0,100.0,-0.3116372766469465,1.970422131517423,,-0.27330408330506084,1.8834310407457324,,-0.4472135954999579,1.1256738907987183,,35.1719269091286,70.84692423595604,75.0,84.0,4.0,3.0
90,91,0.0,0.0,91.28759424242826,-0.3116372766469465,1.7737472834100052,,-0.27330408330506084,1.6769986426873202,,-0.4472135954999579,0.9261573900051646,,33.570986764625175,67.74144975480817,68.46569568182119,101.5,5.5,4.5
91,92,0.0,0.0,91.28759424242826,-0.3116372766469465,1.7737472834100052,,-0.27330408330506084,1.6769986426873202,,-0.4472135954999579,0.9261573900051646,,33.570986764625175,67.74144975480817,68.46569568182119,101.5,5.5,4.5
26,27,0.0,0.0,5.663994110514915,-0.3116372766469465,-0.6413822574915102,,-0.27330408330506084,-0.8579517464835044,,-0.3651483716701108,-0.7524859389746944,,13.911747805439045,29.606816729238584,4.247995582886187,462.0,41.0,13.0
27,28,0.0,0.0,43.8343840739961,-0.3116372766469465,1.1624683868532504,,-0.27330408330506084,1.0353926126687234,,-0.3651483716701108,0.7218143061245854,,28.595155160316665,58.089422399055856,32.875788055497075,154.0,15.0,7.0
28,29,0.0,0.0,44.555771286292796,-0.3116372766469465,1.196559597054887,,-0.27330408330506084,1.0711751763384487,,-0.3651483716701108,0.7496773000556938,,28.872658804080487,58.62771890382706,33.4168284647196,151.0,14.0,6.0
44,45,0.0,0.0,39.872060023948094,-0.3116372766469465,0.9752174628354445,,-0.27330408330506084,0.8388516840465887,,-0.3651483716701108,0.568772764664374,,27.07092608761014,55.13275065528995,29.90404501796107,184.0,17.0,8.0
45,46,0.0,0.0,52.003752540888236,-0.3116372766469465,1.548535193794229,,-0.27330408330506084,1.440613196462195,,-0.3651483716701108,1.0373495140322957,,31.73775247583357,64.18537533106796,39.00281440566618,123.0,11.0,5.0
57,58,0.0,100.00000000000001,11.605177570927019,0.8813790462223458,-0.3606146880878937,,1.5617376188860606,-0.5632545688486476,,2.7386127875258306,-0.5230125634014963,,27.30831675449089,59.04010614223271,108.70388317819528,179.0,13.0,2.0
58,59,0.0,0.0,100.0,-0.3116372766469465,3.8167347586423035,,-0.27330408330506084,3.8213440319114835,,-0.3651483716701108,2.8911655075422735,,50.200976289420566,100.0,75.0,43.0,3.0,3.0
72,73,0.0,0.0,52.05650359137074,-0.3116372766469465,1.5510280951372277,,-0.27330408330506084,1.4432297771145273,,-0.3651483716701108,1.0393869804226055,,31.758044779982768,64.22473797239805,39.04237769352805,122.0,10.0,4.0
73,74,0.0,0.0,15.053398606561796,-0.3116372766469465,-0.19765916830085742,,-0.27330408330506084,-0.3922144025528527,,-0.3651483716701108,-0.3898278324397064,,17.523669275643538,36.61315609310613,11.290048954921346,348.0,26.0,9.0
88,89,0.0,0.0,15.007022524019183,-0.3116372766469465,-0.19985080235166783,,-0.27330408330506084,-0.3945147692602833,,-0.3651483716701108,-0.3916190708819841,,17.505829297792957,36.578550429584325,11.255266893014387,352.0,27.0,10.0
89,90,0.0,0.0,11.076459291487128,-0.3116372766469465,-0.3856007783520216,,-0.27330408330506084,-0.5894802839360732,,-0.3651483716701108,-0.5434338766160708,,15.993817994460986,33.645578491922656,8.307344468615346,388.0,33.0,11.0
107,108,0.0,0.0,7.519053457656672,-0.3116372766469465,-0.5537161371861925,,-0.27330408330506084,-0.7659362822934932,,-0.3651483716701108,-0.6808357815416323,,14.625353091830299,30.99105524315731,5.639290093242504,438.0,38.0,12.0
108,109,0.0,0.0,1.6024617499190503,-0.3116372766469465,-0.8333215531784902,,-0.27330408330506084,-1.05941364906835,,-0.3651483716701108,-0.9093593206832379,,12.349355223317053,26.57611610624962,1.2018463124392877,536.0,45.0,16.0
135,136,0.0,0.0,0.0,-0.3116372766469465,-0.9090504535878086,,-0.27330408330506084,-1.1388996568840724,,-0.3651483716701108,-0.9712531015151383,,11.732919324517407,25.38036499740381,0.0,559.0,46.0,17.0
136,137,0.0,0.0,5.15112103690414,-0.3116372766469465,-0.6656195373617183,,-0.27330408330506084,-0.8833915007488146,,-0.3651483716701108,-0.7722952440106817,,13.714455499324803,29.224112713683628,3.863340777678105,470.0,42.0,14.0
137,138,0.0,0.0,2.448261173511943,-0.3116372766469465,-0.7933508890932096,,-0.27330408330506084,-1.0174599365397141,,-0.3651483716701108,-0.8766910063510857,,12.67471782739359,27.2072485489887,1.8361958801339573,516.0,44.0,15.0
138,139,0.0,100.00000000000001,20.036680210535316,0.8813790462223458,0.03784001682350697,,1.5617376188860606,-0.145031491296846,,2.7386127875258306,-0.1973526364260983,,30.551751992892726,65.33166263714268,115.0275101579015,133.0,9.0,1.0
32,33,0.0,0.0,100.0,-0.3116372766469465,1.0788589843707224,,-0.27330408330506084,0.9476351306074051,,-0.33333333333333365,1.4792727131099939,,27.914571698932136,56.76923901876057,75.0,168.0,16.0,2.0
61,62,0.0,0.0,24.68616541870128,-0.3116372766469465,-0.20499779444041366,,-0.27330408330506084,-0.3999171169925524,,-0.33333333333333365,-0.8614161929455577,,17.463932602116778,36.49727998376941,18.51462406402596,356.0,29.0,9.0
109,110,0.0,0.0,40.43690580637369,-0.3116372766469465,0.06350127920825216,,-0.27330408330506084,-0.11809710704657399,,-0.33333333333333365,-0.371896790666437,,19.64952445538395,40.736851181873845,30.327679354780265,288.0,23.0,6.0
110,111,0.0,0.0,24.714579348788977,-0.3116372766469465,-0.20451342902523384,,-0.27330408330506084,-0.399408720951298,,-0.33333333333333365,-0.860533112548663,,17.467875353542457,36.504928061044495,18.535934511591734,355.0,28.0,8.0
111,112,0.0,0.0,0.0,-0.3116372766469465,-0.6258169041278991,,-0.27330408330506084,-0.8416141555185334,,-0.33333333333333365,-1.628640884794595,,14.03845032639168,29.852591967536174,0.0,454.0,40.0,10.0
112,113,0.0,0.0,31.708896956353264,-0.3116372766469465,-0.08528298320407178,,-0.27330408330506084,-0.27426294308857313,,-0.33333333333333365,-0.6431557645425376,,18.438415353949047,38.387563845114215,23.781672717264946,322.0,25.0,7.0
113,114,0.0,100.0,47.776471615470875,0.8813790462223458,0.18861708787642065,,1.5617376188860606,0.013226021797440866,,3.0,-0.14378942685834958,,31.779082626382866,67.71241620580088,135.83235371160316,120.0,7.0,1.0
139,140,0.0,0.0,88.47217196591079,-0.3116372766469465,0.8823468794060186,,-0.27330408330506084,0.7413735498016378,,-0.33333333333333365,1.1209977780954776,,26.314956289304167,53.66633423415267,66.3541289744331,196.0,18.0,3.0
149,150,0.0,0.0,79.5195365040626,-0.3116372766469465,0.7297334613027154,,-0.27330408330506084,0.5811885837110615,,-0.33333333333333365,0.8427576032058695,,25.072677726577016,51.25658494510425,59.63965237804695,214.0,20.0,5.0
150,151,0.0,0.0,86.7155690736208,-0.3116372766469465,0.8524024934444822,,-0.27330408330506084,0.7099435450912719,,-0.33333333333333365,1.0664040779448123,,26.071207939936453,53.193515633543385,65.03667680521559,202.0,19.0,4.0
33,34,0.0,100.0,83.29062983963658,0.8813790462223458,0.1595843759639273,,1.5617376188860606,-0.017247078346821973,,2.030258904551878,1.2338284005111733,,31.542755335670392,67.2539928393645,162.46797237972743,127.0,8.0,1.0
34,35,0.0,50.00000000000001,100.0,-0.3116372766469465,0.3788014646723476,,-0.27330408330506084,0.2128459394077755,,-0.15617376188860596,1.8120188752363677,,22.216078996222606,45.715406850187634,125.0,258.5,21.5,3.5
35,36,0.0,50.00000000000001,100.0,-0.3116372766469465,0.3788014646723476,,-0.27330408330506084,0.2128459394077755,,-0.15617376188860596,1.8120188752363677,,22.216078996222606,45.715406850187634,125.0,258.5,21.5,3.5
36,37,0.0,50.00000000000001,48.69406994553901,-0.3116372766469465,-0.29430210009853214,,-0.27330408330506084,-0.4936520411648493,,-0.15617376188860596,0.03669163251513536,,16.73699242963982,35.08717470113334,86.52055245915426,373.0,32.0,7.0
37,38,0.0,50.00000000000001,33.02049728873713,-0.3116372766469465,-0.49993013601543346,,-0.27330408330506084,-0.7094818179301184,,-0.15617376188860596,-0.5056573805298306,,15.063173023129021,31.84033035731707,74.76537296655286,425.0,36.0,10.0
62,63,0.0,50.00000000000001,49.64484186765217,-0.3116372766469465,-0.28182853282513687,,-0.27330408330506084,-0.4805596278269549,,-0.15617376188860596,0.0695909736468563,,16.838527703648197,35.28413097301643,87.23363140073914,367.0,31.0,6.0
96,97,0.0,0.0,0.0,-1.5046535995162387,-0.9331395995601566,,-2.1083457854961822,-1.1641839279441673,,-2.3426064283290904,-1.6482580183639066,,0.4257217224032804,0.0,0.0,624.0,47.0,14.0
97,98,0.0,50.00000000000001,39.15329134192485,-0.3116372766469465,-0.4194714924468549,,-0.27330408330506084,-0.6250314121145399,,-0.15617376188860596,-0.29344572497528454,,15.718109196720867,33.11076359671902,79.36496850644365,401.0,34.0,8.0
98,99,0.0,50.00000000000001,23.597262995763128,-0.3116372766469465,-0.6235574162837989,,-0.27330408330506084,-0.8392425686149213,,-0.15617376188860596,-0.8317273793994273,,14.05684263649359,29.888269035081105,67.69794724682235,453.0,39.0,12.0
